model,pred,segment,value,n,rmse,mae,mape,bias
xgb_no_lag,prediction_calibrated,month,12,155,465005.3023410245,360768.1323256689,0.25718541524306004,45503.881571306665
xgb_no_lag_residual,prediction_calibrated,month,12,155,476868.42363823723,362641.7539037018,0.249846282466344,-85332.07659915044
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,12,155,484288.0507106731,368091.8766425102,0.2521391111730632,-91080.02979351737
xgb,prediction_calibrated,month,12,155,547297.5904648814,420504.8544212416,0.30380136582521977,100442.30011850565
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,12,155,606651.9309797585,442830.3404790611,0.3109773476250116,49024.31705045789
xgb_no_lag,prediction_calibrated,month,2,84,1006616.0647067074,694806.9142421026,0.24378387666803017,-256979.8289529783
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,2,84,1028377.5098483949,719541.5987610021,0.25811519517783976,-144502.64326549374
xgb,prediction_calibrated,month,2,84,1029845.7169528558,733491.1544746148,0.2531316130839375,-319681.27152527607
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,2,84,1054004.6138927282,737775.1619939874,0.24788138302944945,-297011.7028575442
xgb_no_lag_residual,prediction_calibrated,month,2,84,1054351.8024287303,737585.3614054024,0.25004261379664705,-303570.09744650713
xgb_no_lag_residual,prediction_calibrated,month,3,93,1004719.9033520413,673987.1935026858,0.1789213783039029,-392740.85784398764
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,3,93,1005279.3773626596,674434.8092643128,0.17874036253222841,-394024.04150690156
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,3,93,1090888.702560494,703296.4669173725,0.18625463564303218,-399989.30707767926
xgb_no_lag,prediction_calibrated,month,3,93,1157375.723510853,829661.6831645047,0.2030085054226459,-584280.5132106056
xgb,prediction_calibrated,month,3,93,1215726.2760821856,889005.4918411239,0.21382790539089963,-679262.7722240604
xgb_no_lag,prediction_calibrated,month,4,90,786758.7242064229,623257.6194464383,0.15257600462635487,-61072.878456884355
xgb_no_lag_residual,prediction_calibrated,month,4,90,814553.5855192333,650393.1622139144,0.16583360091893903,32790.244551387696
xgb,prediction_calibrated,month,4,90,819734.5514288205,664006.9073603626,0.16946596438263703,-76844.26534971864
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,4,90,821445.4727549738,633868.6654854406,0.16515051515083568,28202.693106894836
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,4,90,971127.4680573306,763148.5801672504,0.1881295849244215,-30602.147145128758
xgb_no_lag,prediction_calibrated,month,5,93,1016232.3191108166,795759.1001980266,0.19216120811608922,-171348.7804367962
xgb,prediction_calibrated,month,5,93,1078808.6559399161,833072.3067141344,0.20299603265680702,-195110.77432628808
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,5,93,1165787.7210514196,847651.3564711261,0.21325798698758588,42017.83577700773
xgb_no_lag_residual,prediction_calibrated,month,5,93,1207570.838530861,864245.7061643723,0.2188690828948039,80977.104512035
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,5,93,1365737.3276968894,1031116.2246451636,0.25320447132188384,-199430.60690441506
xgb_no_lag,prediction_calibrated,month,6,90,764072.1054182128,610070.1351804899,0.14471359511360676,-183396.36709967832
xgb,prediction_calibrated,month,6,90,831156.24147899,637969.893726676,0.147310220032169,-214933.62472710494
xgb_no_lag_residual,prediction_calibrated,month,6,90,851003.330541887,643227.0693143915,0.1445062173787094,-171715.07752459543
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,6,90,881402.3693631045,679013.8720994736,0.15254670034515386,-171240.2689042398
xgb_no_lag_residual_legacy_lookup_mic,prediction_calibrated,month,6,90,976493.0811615455,750272.194252333,0.17342690019216972,-287251.77176642796
xgb_no_lag_residual,prediction_calibrated,month,7,155,746944.367546888,518618.1951379345,0.17585590270258375,-68670.69081345337
xgb_no_lag_residual_no_marketing,prediction_calibrated,month,7,155,747128.2587625865,514880.0244599367,0.17518615612593594,-71658.29434338154
xgb,prediction_calibrated,month,7,155,768280.8211395618,565165.746147467,0.19961495230754503,-68885.1687007958
